Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-68,4649,717,239,165,300,0,2280,13558,3061,775,3379,0
00:05,-66,4656,717,240,167,304,0,2281,13639,2939,1791,2830,0
00:10,-66,4654,717,238,165,317,0,2279,13597,2944,1955,2791,0
00:15,-67,4637,718,238,165,319,0,2281,13516,2939,2000,2790,0
00:20,-67,4639,719,238,165,316,0,2280,13476,3007,1812,2809,0
00:25,-67,4639,719,239,166,317,0,2280,13445,3018,1593,2853,0
00:30,-66,4634,718,241,165,317,0,2280,13418,2995,1453,2875,0
00:35,-66,4649,719,241,165,316,0,2280,13223,2959,1388,3019,0
00:40,-67,4640,718,240,164,315,0,2281,12971,2943,1282,3214,0
00:45,-66,4650,721,239,164,315,0,2281,12836,2955,1295,3113,0
00:50,-66,4667,722,239,166,314,0,2281,12946,2962,1248,2873,0
00:55,-65,4679,722,239,169,314,0,2281,13123,2958,1440,2276,0
01:00,-66,4686,722,240,165,313,0,2280,13201,2922,1257,2279,0
01:05,-66,4709,723,240,165,305,0,2281,13239,2793,1306,2101,0
01:10,-66,4749,723,241,165,294,0,2281,13272,2722,1007,2300,0
01:15,-66,4801,722,239,164,294,0,2281,13274,2701,745,2455,0
01:20,-66,4848,722,240,165,295,0,2281,13247,2658,371,2750,0
01:25,-66,4912,721,241,165,296,0,2281,13234,2622,144,2830,0
01:30,-66,4989,722,240,165,296,0,2281,13194,2592,-48,2938,0
01:35,-66,5046,724,239,164,295,0,2281,13058,2577,-217,3050,0
01:40,-66,5102,727,239,165,293,0,2280,12931,2477,-276,3162,0
01:45,-66,5153,728,238,165,293,0,2281,12894,2468,-317,3095,0
01:50,-66,5151,728,238,165,292,0,2281,12841,2465,-499,3207,0
01:55,-66,5117,728,237,165,292,0,2281,12816,2420,-549,3234,0
02:00,-66,5100,727,238,165,293,0,2281,12862,2337,-573,3146,0
02:05,-65,5054,729,239,165,293,0,2281,12918,2155,-871,3498,0
02:10,-66,4982,728,234,165,294,0,2281,12974,2055,-1036,3623,0
02:15,-66,4898,728,235,165,293,0,2281,13007,2044,-1188,3683,0
02:20,-66,4847,729,236,165,293,0,2280,13047,2036,-1300,3705,0
02:25,-70,4828,728,236,165,293,0,2281,13050,2034,-1357,3687,0
02:30,-66,4846,727,236,165,293,0,2281,13013,2027,-1428,3672,0
02:35,-66,4827,728,236,165,293,0,2281,12928,2023,-1425,3688,0
02:40,-66,4819,727,236,165,293,0,2281,12881,2028,-1499,3754,0
02:45,-65,4816,727,237,165,293,0,2281,12875,2034,-1640,3841,0
02:50,-65,4819,726,236,165,293,0,2281,12865,2038,-1784,3919,0
02:55,-65,4815,727,235,164,294,0,2281,12848,2036,-1910,4005,0
03:00,-65,4842,730,236,165,294,0,2281,12727,2013,-1899,4051,0
03:05,-65,4875,733,236,165,295,0,2281,12692,2032,-1853,4039,0
03:10,-65,4902,732,235,165,295,0,2280,12729,2041,-1882,4043,0
03:15,-66,4909,731,234,165,295,0,2281,12747,2034,-1911,3990,0
03:20,-66,4916,729,235,165,294,0,2281,12736,2020,-1963,4021,0
03:25,-66,4906,728,235,161,293,0,2281,12732,2020,-1992,3994,0
03:30,-66,4899,727,236,161,295,0,2281,12688,2028,-1995,3983,0
03:35,-65,4887,728,236,161,296,0,2281,12662,2020,-1961,3916,0
03:40,-66,4870,731,234,160,294,0,2281,12667,2031,-1967,3864,0
03:45,-66,4881,733,234,161,294,0,2281,12608,2021,-1980,3887,0
03:50,-66,4892,733,234,161,293,0,2281,12582,2017,-2001,3869,0
03:55,-66,4860,731,233,161,294,0,2281,12582,2021,-2020,3844,0
04:00,-66,4835,731,233,161,294,0,2280,12477,2011,-1950,3895,0
04:05,-67,4774,730,232,161,293,0,2281,12500,2023,-1860,3852,0
04:10,-66,4728,729,232,161,294,0,2281,12534,2041,-1809,3762,0
04:15,-66,4701,728,230,161,294,0,2281,12551,2028,-1784,3756,0
04:20,-66,4710,727,233,161,294,0,2282,12572,2022,-1780,3733,0
04:25,-66,4678,726,236,161,294,0,2281,12604,2031,-1781,3714,0
04:30,-66,4658,727,235,159,294,0,2281,12609,2027,-1770,3702,0
04:35,-66,4666,730,224,160,294,0,2282,12612,2003,-1731,3741,0
04:40,-66,4668,732,224,162,294,0,2281,12616,1996,-1705,3738,0
04:45,-66,4645,731,224,163,294,0,2282,12635,1947,-1685,3737,0
04:50,-66,4645,730,224,165,293,0,2282,12654,1941,-1716,3806,0
04:55,-66,4646,729,222,163,293,0,2281,12667,1947,-1637,3732,0
05:00,-66,4635,731,221,162,292,0,2282,12670,1952,-1540,3693,0
05:05,-68,4629,732,223,162,292,0,2281,12613,1982,-1168,3503,0
05:10,-68,4611,716,222,162,293,0,2282,12643,1998,-985,3436,0
05:15,-68,4554,707,224,162,292,0,2282,12688,2003,-960,3495,0
05:20,-68,4509,700,224,163,293,0,2281,12713,2060,-918,3512,0
05:25,-69,4511,692,224,163,293,0,2282,12765,2066,-799,3394,0
05:30,-69,4524,691,225,162,293,0,2281,12797,2064,-733,3336,0
